density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,arrival_offset_s,prompt_tokens,ttft_mode,first_latency_ms,prefill_ttft_ms,decode_ready_ttft_ms,decode_start_ttft_ms,decode_first_token_ttft_ms,decode_queue_first_token_ttft_ms,finish_latency_ms,scheduled_first_latency_ms,scheduled_finish_latency_ms,prefill_start_ms,prefill_finish_ms,kv_transfer_ms,decode_start_ms,decode_finish_ms,tpot_ms,is_short
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_a,1.952273,1818,prefill_finish,402.559239919063,402.559239919063,432.46173591906313,8187.537674122842,8347.234702408907,8347.234702408907,18395.21494328922,402.559239919063,18395.21494328922,2139.4178429080175,2354.832239919063,29.902496000000003,10139.810674122842,20347.48794328922,159.49495733072465,False
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_b,1.631435,2798,prefill_finish,430.5125409083071,430.5125409083071,476.4713569083069,7709.890532692523,7869.587560978587,7869.587560978587,17918.46197052721,430.5125409083071,17918.46197052721,1794.7218638772144,2061.947540908307,45.958816,9341.325532692523,19549.89697052721,159.508928716167,False
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_extra_00,1.339675,2169,prefill_finish,222.3257980076596,222.3257980076596,257.9790780076596,347.8075042913531,495.8902032475214,495.8902032475214,10553.574364663522,222.3257980076596,10553.574364663522,1339.675,1562.0007980076596,35.65328,1687.482504291353,11893.249364663521,159.46510719331513,False
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,long_extra_01,0.67477,2176,prefill_finish,234.08324305053054,234.08324305053054,269.85121105053054,365.21364414967593,484.26051978110536,484.26051978110536,10422.334532795552,234.08324305053054,10422.334532795552,690.2037270519808,908.8532430505305,35.767968,1039.983644149676,11097.104532795553,157.14251388509183,False
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,mid_b,4.307758,97,prefill_finish,124.74164403481791,124.74164403481791,126.44727603481806,16996.83911060363,17150.556643535943,17150.556643535943,24140.490112797357,124.74164403481791,24140.490112797357,4356.625842026245,4432.499644034818,1.705632,21304.59711060363,28448.24811279736,111.619546909277,True
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_a,0.753789,88,prefill_finish,231.75213408680258,231.75213408680258,233.3103100868026,286.1946441496759,405.24151978110535,405.24151978110535,10343.315532795552,231.75213408680258,10343.315532795552,908.8532430505305,985.5411340868026,1.558176,1039.983644149676,11097.104532795553,157.14251388509183,True
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_00,0.118613,158,prefill_finish,94.25619604085014,94.25619604085014,96.96125204085016,162.77612426284736,240.5296082503553,240.5296082503553,9701.803617550715,94.25619604085014,9701.803617550715,134.1593210402094,212.86919604085014,2.705056,281.38912426284736,9820.416617550714,149.04730458262293,True
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_01,2.699015,114,prefill_finish,195.65051883816705,195.65051883816705,197.63467883816702,8557.254091988783,8716.356978961107,8716.356978961107,18759.299643535946,195.65051883816705,18759.299643535946,2817.7322668532843,2894.6655188381674,1.9841600000000001,11256.269091988785,21458.314643535945,159.40696174292438,True
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_02,2.673679,178,prefill_finish,144.05326685328419,144.05326685328419,147.0860028532843,8423.425532795552,8582.590091988784,8582.590091988784,18630.91811060363,144.05326685328419,18630.91811060363,2740.020521862619,2817.7322668532843,3.032736,11097.104532795553,21304.59711060363,159.49207152825122,True
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_03,1.222007,158,prefill_finish,77.69282098161057,77.69282098161057,80.39787698161058,192.53876503880747,329.00713466508023,329.00713466508023,10352.657440861913,77.69282098161057,10352.657440861913,1222.007,1299.6998209816106,2.705056,1414.5457650388075,11574.664440861912,158.75185430973602,True
